
#################################################################
Log started at 2025-06-12_15-49-04 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: db9d, Got: 0000
Checksum failed. Expected: d53d, Got: 0000
Checksum failed. Expected: 228a, Got: 0000
Checksum failed. Expected: 520a, Got: 0000
Checksum failed. Expected: 5229, Got: 0000
Checksum failed. Expected: 7c32, Got: 0000
Checksum failed. Expected: a845, Got: 0000
Checksum failed. Expected: e7b2, Got: 0000

Exiting...
