
#################################################################
Log started at 2025-06-16_09-42-22.037339 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Acceleration: X=-0.715892, Y=0.134415, Z=9.782916 m/s^2 Time of Week: 132.158000, Week Number: 0
Acceleration: X=-0.711028, Y=0.143650, Z=9.786948 m/s^2 Time of Week: 132.162000, Week Number: 0
Acceleration: X=-0.716207, Y=0.143487, Z=9.782906 m/s^2 Time of Week: 132.166000, Week Number: 0
Acceleration: X=-0.715142, Y=0.140065, Z=9.791832 m/s^2 Time of Week: 132.170000, Week Number: 0
Acceleration: X=-0.719042, Y=0.143541, Z=9.791845 m/s^2 Time of Week: 132.174000, Week Number: 0
Acceleration: X=-0.729067, Y=0.145218, Z=9.782547 m/s^2 Time of Week: 132.178000, Week Number: 0
Acceleration: X=-0.729992, Y=0.150337, Z=9.777799 m/s^2 Time of Week: 132.182000, Week Number: 0
Acceleration: X=-0.731055, Y=0.148346, Z=9.787153 m/s^2 Time of Week: 132.186000, Week Number: 0
Acceleration: X=-0.729616, Y=0.144536, Z=9.784262 m/s^2 Time of Week: 132.190000, Week Number: 0
Acceleration: X=-0.726161, Y=0.143659, Z=9.779849 m/s^2 Time of Week: 132.194000, Week Number: 0
Acceleration: X=-0.736399, Y=0.136670, Z=9.773307 m/s^2 Time of Week: 132.198000, Week Number: 0
Acceleration: X=-0.729960, Y=0.136191, Z=9.775829 m/s^2 Time of Week: 132.202000, Week Number: 0
Acceleration: X=-0.734881, Y=0.132089, Z=9.777872 m/s^2 Time of Week: 132.206000, Week Number: 0
Acceleration: X=-0.725365, Y=0.133666, Z=9.775857 m/s^2 Time of Week: 132.210000, Week Number: 0
Acceleration: X=-0.732427, Y=0.135127, Z=9.760549 m/s^2 Time of Week: 132.214000, Week Number: 0
Acceleration: X=-0.733264, Y=0.130336, Z=9.766050 m/s^2 Time of Week: 132.218000, Week Number: 0
Acceleration: X=-0.727842, Y=0.132851, Z=9.773969 m/s^2 Time of Week: 132.222000, Week Number: 0
Acceleration: X=-0.727133, Y=0.129111, Z=9.775550 m/s^2 Time of Week: 132.226000, Week Number: 0
Acceleration: X=-0.723122, Y=0.143255, Z=9.770494 m/s^2 Time of Week: 132.230000, Week Number: 0
Acceleration: X=-0.723564, Y=0.141686, Z=9.777750 m/s^2 Time of Week: 132.234000, Week Number: 0
Acceleration: X=-0.722745, Y=0.138750, Z=9.786051 m/s^2 Time of Week: 132.238000, Week Number: 0
Acceleration: X=-0.721258, Y=0.143081, Z=9.785396 m/s^2 Time of Week: 132.242000, Week Number: 0
Acceleration: X=-0.720285, Y=0.145592, Z=9.783877 m/s^2 Time of Week: 132.246000, Week Number: 0
Acceleration: X=-0.724098, Y=0.148953, Z=9.781218 m/s^2 Time of Week: 132.250000, Week Number: 0
Acceleration: X=-0.727375, Y=0.147946, Z=9.792082 m/s^2 Time of Week: 132.254000, Week Number: 0
Acceleration: X=-0.732824, Y=0.142287, Z=9.785017 m/s^2 Time of Week: 132.258000, Week Number: 0
Acceleration: X=-0.732470, Y=0.141893, Z=9.775810 m/s^2 Time of Week: 132.262000, Week Number: 0
Acceleration: X=-0.724292, Y=0.143224, Z=9.780963 m/s^2 Time of Week: 132.266000, Week Number: 0
Acceleration: X=-0.724222, Y=0.132735, Z=9.775088 m/s^2 Time of Week: 132.270000, Week Number: 0
Acceleration: X=-0.727308, Y=0.130673, Z=9.772166 m/s^2 Time of Week: 132.274000, Week Number: 0
Acceleration: X=-0.721162, Y=0.131853, Z=9.773106 m/s^2 Time of Week: 132.278000, Week Number: 0
Acceleration: X=-0.722849, Y=0.132198, Z=9.770558 m/s^2 Time of Week: 132.282000, Week Number: 0
Acceleration: X=-0.728176, Y=0.123145, Z=9.775410 m/s^2 Time of Week: 132.286000, Week Number: 0
Acceleration: X=-0.730173, Y=0.125531, Z=9.774913 m/s^2 Time of Week: 132.290000, Week Number: 0
Acceleration: X=-0.724855, Y=0.134967, Z=9.775290 m/s^2 Time of Week: 132.294000, Week Number: 0
Acceleration: X=-0.724633, Y=0.142129, Z=9.773276 m/s^2 Time of Week: 132.298000, Week Number: 0
Acceleration: X=-0.718988, Y=0.139861, Z=9.771490 m/s^2 Time of Week: 132.302000, Week Number: 0
Acceleration: X=-0.725060, Y=0.138504, Z=9.776854 m/s^2 Time of Week: 132.306000, Week Number: 0
Acceleration: X=-0.726708, Y=0.144121, Z=9.784460 m/s^2 Time of Week: 132.310000, Week Number: 0
Acceleration: X=-0.726066, Y=0.151117, Z=9.782701 m/s^2 Time of Week: 132.314000, Week Number: 0
Acceleration: X=-0.725294, Y=0.151655, Z=9.778848 m/s^2 Time of Week: 132.318000, Week Number: 0
Acceleration: X=-0.729719, Y=0.143225, Z=9.784922 m/s^2 Time of Week: 132.322000, Week Number: 0
Acceleration: X=-0.723992, Y=0.138281, Z=9.784651 m/s^2 Time of Week: 132.326000, Week Number: 0
Acceleration: X=-0.720699, Y=0.140662, Z=9.775883 m/s^2 Time of Week: 132.330000, Week Number: 0
