
#################################################################
Log started at 2025-06-13_14-53-58 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Stream initialized successfully
Stream synced
Checksum failed. Expected: 35f1, Got: 5c75
Checksum failed. Expected: 2b1e, Got: 9375
Checksum failed. Expected: 3f6a, Got: cb75
Checksum failed. Expected: 410d, Got: 6c75
Checksum failed. Expected: e900, Got: b775
Checksum failed. Expected: 7545, Got: 7075
Checksum failed. Expected: d1cf, Got: 9e75
Checksum failed. Expected: ebce, Got: 8375
Checksum failed. Expected: b5c1, Got: ac75
Checksum failed. Expected: 6929, Got: 6075
Checksum failed. Expected: 0b94, Got: 2975
Checksum failed. Expected: e312, Got: cf75
Checksum failed. Expected: db69, Got: 2e75
Checksum failed. Expected: 998a, Got: 9175
Checksum failed. Expected: e7de, Got: 9775
Checksum failed. Expected: 3576, Got: e175
Checksum failed. Expected: 1dcb, Got: 4e75
Checksum failed. Expected: 750c, Got: 3775
Checksum failed. Expected: 3f22, Got: 8375
Checksum failed. Expected: 6379, Got: b675
Checksum failed. Expected: 977f, Got: 8875
Checksum failed. Expected: c7fd, Got: d675
Checksum failed. Expected: 57d9, Got: 2275
Checksum failed. Expected: 5d1f, Got: 6275
Checksum failed. Expected: 39d8, Got: 3f75
Checksum failed. Expected: e124, Got: e375
Checksum failed. Expected: cb11, Got: e675
Checksum failed. Expected: fb4f, Got: f475
Checksum failed. Expected: eba9, Got: 5e75
Checksum failed. Expected: 81be, Got: dd75
Checksum failed. Expected: db1f, Got: e475
Checksum failed. Expected: c7df, Got: b875
Checksum failed. Expected: 5dd2, Got: 1575
Checksum failed. Expected: ffa7, Got: 4875
Checksum failed. Expected: 6d96, Got: c975
Checksum failed. Expected: 5dbf, Got: 0275
Checksum failed. Expected: 6f9a, Got: cb75
Checksum failed. Expected: 6344, Got: 8175
Checksum failed. Expected: 0dc1, Got: 5475
Checksum failed. Expected: 19bd, Got: 4475
Checksum failed. Expected: a708, Got: 0175
Checksum failed. Expected: d342, Got: 0f75
Checksum failed. Expected: bd06, Got: e975
Checksum failed. Expected: 314a, Got: b975
Checksum failed. Expected: c590, Got: 6b75
Checksum failed. Expected: 0fb1, Got: 4275
Checksum failed. Expected: 87e5, Got: fe75
Checksum failed. Expected: 119b, Got: 2a75
Checksum failed. Expected: d330, Got: fd75
Checksum failed. Expected: 6510, Got: 4b75
Checksum failed. Expected: 177f, Got: 0875
Checksum failed. Expected: 0fd9, Got: 6a75
Checksum failed. Expected: dbb3, Got: 7875
