
#################################################################
Log started at 2025-06-12_16-20-09 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 29ac, Got: fbe8
Checksum failed. Expected: f0cc, Got: 6a7f
Checksum failed. Expected: 753b, Got: d917
Checksum failed. Expected: 380f, Got: 47ae
Checksum failed. Expected: 0ac8, Got: b646
Checksum failed. Expected: 9472, Got: 24de
Checksum failed. Expected: 87c5, Got: 9375
Checksum failed. Expected: 0c3c, Got: 020d
Checksum failed. Expected: 71e4, Got: 70a4
Checksum failed. Expected: 8ecc, Got: df3c
Checksum failed. Expected: 4930, Got: 4dd3
Checksum failed. Expected: 2467, Got: bc6b
Checksum failed. Expected: 4997, Got: 2b02
Checksum failed. Expected: 8832, Got: 999a
Checksum failed. Expected: ef12, Got: 0832
Checksum failed. Expected: 8cbe, Got: 76c9
Checksum failed. Expected: f094, Got: e561
Checksum failed. Expected: bbcc, Got: 53f8
Checksum failed. Expected: 7433, Got: c290
Checksum failed. Expected: 8641, Got: 3127
Checksum failed. Expected: 076e, Got: 9fbf
Checksum failed. Expected: 9ee2, Got: 0e56
Checksum failed. Expected: 322f, Got: 7cee
Checksum failed. Expected: dbac, Got: eb85

Exiting...
