
#################################################################
Log started at 2025-06-12_16-20-22 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 8da2, Got: b896
Checksum failed. Expected: 8fab, Got: a98e
Checksum failed. Expected: 87f3, Got: 1dac
Checksum failed. Expected: 11d6, Got: a09c
Checksum failed. Expected: 5ba7, Got: 19a2
Checksum failed. Expected: 2bea, Got: 1559
Checksum failed. Expected: 664b, Got: 9d0c
Checksum failed. Expected: 232b, Got: 239e
Checksum failed. Expected: a923, Got: 22d3
Checksum failed. Expected: 94d8, Got: 977e
Checksum failed. Expected: fb98, Got: 173c
Checksum failed. Expected: 28a8, Got: a00e
Checksum failed. Expected: b053, Got: 97ac
Checksum failed. Expected: c103, Got: 98eb
Checksum failed. Expected: e8ec, Got: 182d
Checksum failed. Expected: acbf, Got: 947f
Checksum failed. Expected: ee92, Got: 1580
Checksum failed. Expected: 9613, Got: 97b6
Checksum failed. Expected: bed4, Got: 952a
Checksum failed. Expected: 9f70, Got: 966c
Checksum failed. Expected: 71da, Got: 1373
Checksum failed. Expected: 0707, Got: 9720
Checksum failed. Expected: b8b8, Got: 9c39
Checksum failed. Expected: 5e10, Got: ac32
Checksum failed. Expected: d162, Got: 285e
Checksum failed. Expected: 72ec, Got: a0ea
Checksum failed. Expected: 6c52, Got: 101f
Checksum failed. Expected: 8524, Got: 86fc
Checksum failed. Expected: 0408, Got: 0452
Checksum failed. Expected: 1af3, Got: c9f9
Checksum failed. Expected: b0ab, Got: 8d7e
Checksum failed. Expected: cc18, Got: 4fb9
Checksum failed. Expected: c0b4, Got: d198
Checksum failed. Expected: ec71, Got: 175d
Checksum failed. Expected: d199, Got: 8927
Checksum failed. Expected: a078, Got: 0cb2
Checksum failed. Expected: c98d, Got: 50b5
Checksum failed. Expected: d778, Got: 0db3
