
#################################################################
Log started at 2025-06-12_16-32-43 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 1222, Got: c1a7
Checksum failed. Expected: bbd4, Got: c454
Checksum failed. Expected: 0707, Got: 3f80
Checksum failed. Expected: 0f2e, Got: acb9
Checksum failed. Expected: ed20, Got: aa44
Checksum failed. Expected: 2799, Got: d229
Checksum failed. Expected: 4850, Got: 3b9e
Checksum failed. Expected: c1fa, Got: c559
Checksum failed. Expected: 6ca8, Got: d0ce
Checksum failed. Expected: e469, Got: 415c
Checksum failed. Expected: c541, Got: 544b
Checksum failed. Expected: 5264, Got: d576
Checksum failed. Expected: 53e1, Got: 0e01
Checksum failed. Expected: 8e61, Got: cfb4
Checksum failed. Expected: 2b4f, Got: ce40
Checksum failed. Expected: f562, Got: 3909
Checksum failed. Expected: bb03, Got: c2f6
Checksum failed. Expected: 1fbe, Got: b82e
Checksum failed. Expected: 4d89, Got: 5c1c
Checksum failed. Expected: 2158, Got: d406
Checksum failed. Expected: 9568, Got: a3f1
Checksum failed. Expected: 44c1, Got: 36e9
Checksum failed. Expected: 7702, Got: 4333
Checksum failed. Expected: b1b0, Got: 518e
Checksum failed. Expected: 077e, Got: db46
Checksum failed. Expected: e93b, Got: f3f9
Checksum failed. Expected: 65d9, Got: c34c
Checksum failed. Expected: 81d1, Got: cfa8
Checksum failed. Expected: c647, Got: 41c4
Checksum failed. Expected: b7f8, Got: 49cf
Checksum failed. Expected: b781, Got: c1fc
Checksum failed. Expected: da86, Got: c5fa
Checksum failed. Expected: 6eb4, Got: 44b4
Checksum failed. Expected: 2b59, Got: bf17
Checksum failed. Expected: 038e, Got: a755
Checksum failed. Expected: 721c, Got: 4496
Checksum failed. Expected: 2e5e, Got: de96
Checksum failed. Expected: 8d9a, Got: ca6e
Checksum failed. Expected: 148c, Got: c219
Checksum failed. Expected: fae6, Got: 412b
Checksum failed. Expected: 06f4, Got: ce9f
