
#################################################################
Log started at 2025-06-12_16-18-36 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 088a, Got: 1894
Checksum failed. Expected: 56ce, Got: 872b
Checksum failed. Expected: 5b5e, Got: f5c3
Checksum failed. Expected: 19f4, Got: 645a
Checksum failed. Expected: e00b, Got: d2f2
Checksum failed. Expected: 7ee1, Got: 418a
Checksum failed. Expected: 801f, Got: b021
Checksum failed. Expected: bda6, Got: 1eb9
Checksum failed. Expected: af18, Got: 8d50
Checksum failed. Expected: d56a, Got: fbe8
Checksum failed. Expected: a0c2, Got: 6a7f
Checksum failed. Expected: ada1, Got: d917
Checksum failed. Expected: d717, Got: 47ae
Checksum failed. Expected: 97d4, Got: b646
Checksum failed. Expected: 7840, Got: 24de
Checksum failed. Expected: f303, Got: 9375
Checksum failed. Expected: 6246, Got: 020d
Checksum failed. Expected: e7ae, Got: 70a4
Checksum failed. Expected: 5612, Got: df3c
Checksum failed. Expected: e1d6, Got: 4dd3
Checksum failed. Expected: ea91, Got: bc6b
Checksum failed. Expected: 2c57, Got: 2b02
Checksum failed. Expected: f254, Got: 999a
Checksum failed. Expected: 048e, Got: 0831
Checksum failed. Expected: 2585, Got: 76c9
Checksum failed. Expected: b286, Got: e561
Checksum failed. Expected: b5ce, Got: 53f8
Checksum failed. Expected: 0793, Got: c290
Checksum failed. Expected: faef, Got: 3127
Checksum failed. Expected: d3ec, Got: 9fbf
Checksum failed. Expected: 9e38, Got: 0e56
Checksum failed. Expected: 7313, Got: 7cee
Checksum failed. Expected: a3f2, Got: eb85
Checksum failed. Expected: dc4d, Got: 5a1d
Checksum failed. Expected: b541, Got: c8b5
Checksum failed. Expected: 94b1, Got: 374c
Checksum failed. Expected: ce06, Got: a5e4
Checksum failed. Expected: d9de, Got: 147b
Checksum failed. Expected: 867d, Got: 8313
Checksum failed. Expected: 816e, Got: f1aa
Checksum failed. Expected: d005, Got: 6042

Exiting...
