
#################################################################
Log started at 2025-06-12_16-21-44 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Checksum failed. Expected: 207c, Got: faa4
Checksum failed. Expected: 79fd, Got: fee5
Checksum failed. Expected: bf5c, Got: fcde
Checksum failed. Expected: b1c4, Got: 7f1d
Checksum failed. Expected: fdf6, Got: ff5e
Checksum failed. Expected: 6b25, Got: 0847
Checksum failed. Expected: ad3e, Got: 0cd6
Checksum failed. Expected: da92, Got: 8730
Checksum failed. Expected: 774d, Got: 8623
Checksum failed. Expected: f7dc, Got: 8707
Checksum failed. Expected: d800, Got: 78e9
Checksum failed. Expected: f5b1, Got: fb3a
Checksum failed. Expected: 7b8d, Got: 0484
Checksum failed. Expected: 2634, Got: 0597
Checksum failed. Expected: 8fec, Got: 7f44
Checksum failed. Expected: 202b, Got: fcd4
Checksum failed. Expected: 0132, Got: 06dd
Checksum failed. Expected: 65bf, Got: 0da4
Checksum failed. Expected: 6aa4, Got: 0803
Checksum failed. Expected: a8cc, Got: 1753
Checksum failed. Expected: 3a9c, Got: a0b5
Checksum failed. Expected: 4545, Got: 1b0f
Checksum failed. Expected: 09a3, Got: 14cd
Checksum failed. Expected: 265e, Got: 92d6
Checksum failed. Expected: 7827, Got: 1341
Checksum failed. Expected: fbb8, Got: 118a
Checksum failed. Expected: 6124, Got: 9b27
Checksum failed. Expected: 8960, Got: 9c04
Checksum failed. Expected: c2cd, Got: 1549
Checksum failed. Expected: 8010, Got: 1beb
Checksum failed. Expected: 2d63, Got: 9785
Checksum failed. Expected: 74b0, Got: 0e9c
Checksum failed. Expected: d7c5, Got: 8222
Checksum failed. Expected: 8533, Got: 8d2c
Checksum failed. Expected: 424a, Got: 8d05
Checksum failed. Expected: 4d5f, Got: 88e1
Checksum failed. Expected: 5020, Got: 8ca4
Checksum failed. Expected: 26e2, Got: 10d6
Checksum failed. Expected: 78d9, Got: 9815
Checksum failed. Expected: 1f13, Got: 1349
Checksum failed. Expected: cd39, Got: 87cf
Checksum failed. Expected: f32c, Got: 9301
Checksum failed. Expected: 145f, Got: 995e
Checksum failed. Expected: 85ec, Got: 19f8
Checksum failed. Expected: 78ee, Got: 1da5
Checksum failed. Expected: dda4, Got: 1f68
Checksum failed. Expected: 45e7, Got: 2812
Checksum failed. Expected: 8949, Got: 9755
Checksum failed. Expected: 450a, Got: 90e6
Checksum failed. Expected: 208e, Got: 933b
Checksum failed. Expected: 9bbd, Got: 13a7
Checksum failed. Expected: 8e2b, Got: 16a1
Checksum failed. Expected: 1c39, Got: 17d6
Checksum failed. Expected: 018c, Got: 1277
Checksum failed. Expected: a25f, Got: 894a
Checksum failed. Expected: 12de, Got: 0ae2
Checksum failed. Expected: a1cd, Got: 907c
Checksum failed. Expected: 061b, Got: 94c4
Checksum failed. Expected: 1cd7, Got: 1076
Checksum failed. Expected: bf64, Got: 99be
Checksum failed. Expected: df54, Got: 992b
Checksum failed. Expected: 8825, Got: 902e
Checksum failed. Expected: a9ab, Got: 1844
Checksum failed. Expected: 0180, Got: 9fab
Checksum failed. Expected: 9902, Got: 9900
Checksum failed. Expected: fdd2, Got: 97b3
Checksum failed. Expected: d5b8, Got: 1aa9
Checksum failed. Expected: 65b7, Got: 8f38
Checksum failed. Expected: 2e44, Got: 88aa
Checksum failed. Expected: 78af, Got: 06f1
Checksum failed. Expected: 215a, Got: 0396
