
#################################################################
Log started at 2025-06-12_16-22-19 
#################################################################
IMU initialized succesfully
PPS initialized succesfully
Acceleration: X=-5.745910, Y=0.109059, Z=7.919332 m/s^2 Time of Week: 2716.614000, Week Number: 0
Acceleration: X=-5.747670, Y=0.118606, Z=7.921705 m/s^2 Time of Week: 2716.615000, Week Number: 0
Acceleration: X=-5.748888, Y=0.120952, Z=7.929483 m/s^2 Time of Week: 2716.616000, Week Number: 0
Acceleration: X=-5.747684, Y=0.120387, Z=7.922918 m/s^2 Time of Week: 2716.617000, Week Number: 0
Acceleration: X=-5.747123, Y=0.110211, Z=7.914538 m/s^2 Time of Week: 2716.618000, Week Number: 0
Acceleration: X=-5.749508, Y=0.111397, Z=7.924712 m/s^2 Time of Week: 2716.619000, Week Number: 0
Acceleration: X=-5.751241, Y=0.115616, Z=7.933702 m/s^2 Time of Week: 2716.620000, Week Number: 0
Acceleration: X=-5.750716, Y=0.116823, Z=7.940255 m/s^2 Time of Week: 2716.621000, Week Number: 0
Acceleration: X=-5.746576, Y=0.111993, Z=7.934300 m/s^2 Time of Week: 2716.622000, Week Number: 0
Acceleration: X=-5.744769, Y=0.113168, Z=7.933701 m/s^2 Time of Week: 2716.623000, Week Number: 0
Acceleration: X=-5.747193, Y=0.112559, Z=7.933644 m/s^2 Time of Week: 2716.624000, Week Number: 0
Acceleration: X=-5.747174, Y=0.117971, Z=7.928824 m/s^2 Time of Week: 2716.625000, Week Number: 0
Acceleration: X=-5.744156, Y=0.116136, Z=7.927050 m/s^2 Time of Week: 2716.626000, Week Number: 0
Acceleration: X=-5.748314, Y=0.115565, Z=7.931269 m/s^2 Time of Week: 2716.627000, Week Number: 0
Acceleration: X=-5.747682, Y=0.118045, Z=7.939063 m/s^2 Time of Week: 2716.628000, Week Number: 0
Acceleration: X=-5.743559, Y=0.117410, Z=7.936629 m/s^2 Time of Week: 2716.629000, Week Number: 0
Acceleration: X=-5.738780, Y=0.114957, Z=7.928871 m/s^2 Time of Week: 2716.630000, Week Number: 0
Acceleration: X=-5.739374, Y=0.113108, Z=7.925297 m/s^2 Time of Week: 2716.631000, Week Number: 0
Acceleration: X=-5.740005, Y=0.111269, Z=7.923496 m/s^2 Time of Week: 2716.632000, Week Number: 0
Acceleration: X=-5.747745, Y=0.108341, Z=7.926503 m/s^2 Time of Week: 2716.633000, Week Number: 0
Acceleration: X=-5.748284, Y=0.113751, Z=7.927103 m/s^2 Time of Week: 2716.634000, Week Number: 0
Acceleration: X=-5.745295, Y=0.114369, Z=7.921125 m/s^2 Time of Week: 2716.635000, Week Number: 0
Acceleration: X=-5.747716, Y=0.110193, Z=7.932538 m/s^2 Time of Week: 2716.636000, Week Number: 0
Acceleration: X=-5.747735, Y=0.106594, Z=7.929533 m/s^2 Time of Week: 2716.637000, Week Number: 0
